Layer Name,FLOPS,InputA,InputB,Output,OP/B,Execution_time,Execution_time(%)
pre_attn_norm,3758096384,1879048192,,1879048192,1.0,1121.1504725536993,2.01
query_down,2886218022912,1879048192,22020096,402653184,1252.8502503413747,2917.139703771983,5.23
attn_norm_1,805306368,402653184,,402653184,1.0,240.24652983293558,0.43
query_up,3298534883328,402653184,25165824,2147483648,1280.8338762214983,3333.8739471679805,5.98
kv_down,962072674304,1879048192,7340032,134217728,476.13077322262586,972.3799012573277,1.74
attn_norm_2,268435456,134217728,,134217728,1.0,80.08217661097852,0.14
k_up,1099511627776,134217728,8388608,2147483648,480.1172161172161,1111.2913157226603,1.99
v_up,1099511627776,134217728,8388608,2147483648,480.1172161172161,1111.2913157226603,1.99
k_rope_w,120259084288,1879048192,917504,16777216,63.40294381867183,565.8540906921241,1.02
q_rope_w,1649267441664,402653184,12582912,1073741824,1107.650704225352,1666.9369735839903,2.99
k_rope,50331648,16777216,,16777216,1.5,10.010272076372315,0.02
q_rope,3221225472,1073741824,,1073741824,1.5,640.6574128878282,1.15
flash_attention,6734659715072,3221225472,50331648,3221225472,94.49552730696799,1936.987646778043,3.48
out_proj,23089751523328,3221225472,117440512,1879048192,4425.261856913184,23337.125048845763,41.88
residual_addition,939524096,1879048192,,1879048192,0.25,1121.1504725536993,2.01
post_attn_norm,3758096384,1879048192,,1879048192,1.0,1121.1504725536993,2.01
gate_shared,3848290697216,1879048192,29360128,536870912,1573.763293310463,3889.5196050293107,6.98
up_shared,3848290697216,1879048192,29360128,536870912,1573.763293310463,3889.5196050293107,6.98
silu_shared,1879048192,536870912,,536870912,1.75,320.3287064439141,0.57
down_shared,3848290697216,536870912,29360128,1879048192,1573.763293310463,3889.5196050293107,6.98
router,481036337152,1879048192,3670016,67108864,246.70717934928743,581.6906539379474,1.04
gate_routed,240518168576,117440512,29360128,33554432,1333.5813953488373,243.09497531433192,0.44
up_routed,240518168576,117440512,29360128,33554432,1333.5813953488373,243.09497531433192,0.44
silu_routed,117440512,33554432,,33554432,1.75,20.02054415274463,0.04
down_routed,240518168576,33554432,29360128,117440512,1333.5813953488373,243.09497531433192,0.44
residual_addition2,939524096,1879048192,,1879048192,0.25,1121.1504725536993,2.01
Total FLOPS,53702986563584,,,,,,
